2024-03-08 10:47:57,589 - active_players - INFO - ACTION COMMITTED: nba_update_active_players
2024-03-08 10:47:57,631 - active_players - INFO - Inserted and updated for player: {'full_name': 'Precious Achiuwa', 'id': 1630173}
2024-03-08 10:47:57,674 - active_players - INFO - Inserted and updated for player: {'full_name': 'Steven Adams', 'id': 203500}
2024-03-08 10:47:57,715 - active_players - INFO - Inserted and updated for player: {'full_name': 'Bam Adebayo', 'id': 1628389}
2024-03-08 10:47:57,759 - active_players - INFO - Inserted and updated for player: {'full_name': 'Ochai Agbaji', 'id': 1630534}
2024-03-08 10:47:57,799 - active_players - INFO - Inserted and updated for player: {'full_name': 'Santi Aldama', 'id': 1630583}
2024-03-08 10:47:57,852 - active_players - INFO - Inserted and updated for player: {'full_name': 'Nickeil Alexander-Walker', 'id': 1629638}
2024-03-08 10:47:57,899 - active_players - INFO - Inserted and updated for player: {'full_name': 'Grayson Allen', 'id': 1628960}
2024-03-08 10:47:57,940 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jarrett Allen', 'id': 1628386}
2024-03-08 10:47:57,983 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jose Alvarado', 'id': 1630631}
2024-03-08 10:47:58,029 - active_players - INFO - Inserted and updated for player: {'full_name': 'Kyle Anderson', 'id': 203937}
2024-03-08 10:47:58,079 - active_players - INFO - Inserted and updated for player: {'full_name': 'Giannis Antetokounmpo', 'id': 203507}
2024-03-08 10:47:58,123 - active_players - INFO - Inserted and updated for player: {'full_name': 'Thanasis Antetokounmpo', 'id': 203648}
2024-03-08 10:47:58,165 - active_players - INFO - Inserted and updated for player: {'full_name': 'Cole Anthony', 'id': 1630175}
2024-03-08 10:47:58,207 - active_players - INFO - Inserted and updated for player: {'full_name': 'OG Anunoby', 'id': 1628384}
2024-03-08 10:47:58,247 - active_players - INFO - Inserted and updated for player: {'full_name': 'Ryan Arcidiacono', 'id': 1627853}
2024-03-08 10:47:58,291 - active_players - INFO - Inserted and updated for player: {'full_name': 'Deni Avdija', 'id': 1630166}
2024-03-08 10:47:58,340 - active_players - INFO - Inserted and updated for player: {'full_name': 'Deandre Ayton', 'id': 1629028}
2024-03-08 10:47:58,418 - active_players - INFO - Inserted and updated for player: {'full_name': 'Udoka Azubuike', 'id': 1628962}
2024-03-08 10:47:58,467 - active_players - INFO - Inserted and updated for player: {'full_name': 'Marvin Bagley III', 'id': 1628963}
2024-03-08 10:47:58,508 - active_players - INFO - Inserted and updated for player: {'full_name': 'Amari Bailey', 'id': 1641735}
2024-03-08 10:47:58,555 - active_players - INFO - Inserted and updated for player: {'full_name': 'Patrick Baldwin Jr.', 'id': 1631116}
2024-03-08 10:47:58,620 - active_players - INFO - Inserted and updated for player: {'full_name': 'LaMelo Ball', 'id': 1630163}
2024-03-08 10:47:58,659 - active_players - INFO - Inserted and updated for player: {'full_name': 'Lonzo Ball', 'id': 1628366}
2024-03-08 10:47:58,699 - active_players - INFO - Inserted and updated for player: {'full_name': 'Mo Bamba', 'id': 1628964}
2024-03-08 10:47:58,739 - active_players - INFO - Inserted and updated for player: {'full_name': 'Paolo Banchero', 'id': 1631094}
2024-03-08 10:47:58,781 - active_players - INFO - Inserted and updated for player: {'full_name': 'Desmond Bane', 'id': 1630217}
